Artist,Title,Spins,First played,First played on
Nathan Evans,Wellerman,16,26-03-2021 18:15,Voice Danmark
Anton Walter,Charlottenlund (skalas udvalgte),7,26-03-2021 15:41,Skala
Uro,Værd at vente på,10,26-03-2021 06:37,Voice Danmark
Daya,Bad girl,8,23-03-2021 18:39,DR P3
Zara Larsson,Talk about love,26,23-03-2021 11:03,Radio SLR
Troels Gustavsen,Lykkelig fortabt,9,22-03-2021 12:51,DR P4 Sjælland
Ksi feat. Yungblud & Polo G,Patience,33,19-03-2021 14:03,Voice Danmark
Goss,Mad man,47,19-03-2021 13:50,DR P3
Xander & Fouli,Baby girl,10,19-03-2021 13:46,DR P3
Zookeepers,What's the difference,9,19-03-2021 13:25,SydhavsØerne
Lost Frequencies,Rise,8,19-03-2021 13:21,SydhavsØerne
Justin Bieber feat. Daniel Caesar & Giveon,Peaches,21,19-03-2021 09:15,NOVA FM
Silk Sonic,Leave the door open,9,19-03-2021 06:50,Mix7
Alexander Oscar,One more dance,54,18-03-2021 13:53,DR P4 Sjælland
Lydmor,Diamond breeze,14,17-03-2021 13:35,DR P4 Sjælland
Ham Fra Syd,Trip,7,16-03-2021 22:11,DR P3
Imagine Dragons,Follow you,12,16-03-2021 13:41,DR P4 Sjælland
Mads Langer,Hanging with you,123,15-03-2021 12:53,DR P4 Sjælland
K-Phax,Pretty lights,17,15-03-2021 12:42,DR P3
Holy Holy feat. Queen P,Port Rd,53,15-03-2021 03:26,DR P3
London Grammar,How Does It Feel,8,13-03-2021 12:27,DR P3
Nella,Ender sammen,13,12-03-2021 13:33,DR P3
Remi Wolf & Dominic Fike,Photo id (remix),11,12-03-2021 13:28,DR P3
Bathsheba,Lala,24,12-03-2021 06:44,Voice Danmark
Christopher,Fall so hard,218,12-03-2021 06:15,SydhavsØerne
Baby Queen,Raw thoughts,23,12-03-2021 05:49,DR P3
Bruno Mars,Leave the door open,47,11-03-2021 15:32,Skala
Hugo Helmig,Wake up,185,11-03-2021 12:53,DR P3
Alex in Black feat. Andrea Grau,Talkin' Bout a Revolution,10,11-03-2021 12:38,Radio SLR
Natasja,Selvtillid,19,11-03-2021 12:12,DR P3
Jorja Smith,Addicted,9,10-03-2021 22:33,DR P3
James Arthur,Medicine,15,10-03-2021 13:41,DR P4 Sjælland
Without You,The Kid Laroi,48,09-03-2021 15:36,Radio SLR
Coco O.,Soldier,74,09-03-2021 12:52,DR P4 Sjælland
Tate Mcrae,Slower,9,08-03-2021 13:12,SydhavsØerne
Dusin,Fucking fantastisk,38,08-03-2021 12:46,DR P3
Girl In Red,Serotonin,74,08-03-2021 07:18,DR P3
Maroon 5 feat. Megan Thee Stallion,Beautiful Mistake,180,06-03-2021 17:23,Skala
Erika De Casier,Drama,7,06-03-2021 08:46,DR P3
Nick Jonas,This is heaven,137,05-03-2021 19:44,Voice Danmark
Ella Henderson feat. Tom Grennan,Let's Go Home Together,51,05-03-2021 19:17,Voice Danmark
Bebe Rexha,Sacrifice,43,05-03-2021 16:28,Voice Danmark
Nea feat. Sandro Cavazza,Don't Deserve This,31,05-03-2021 16:16,Voice Danmark
Bruno Mars feat. Anderson Paak & Silk Sonic,Leave the Door Open,90,05-03-2021 13:44,DR P4 Sjælland
Benjamin Hav. feat. Artigeardit, Carl Knast & Orgi-E,Velkommen,11,05-03-2021 13:40,DR P3
Selma Judith,Some folklores,69,05-03-2021 13:32,DR P3
Ina Wroldsen,We are gonna live,14,05-03-2021 13:27,SydhavsØerne
Maisie Peters,John Hughes Movie,54,05-03-2021 10:55,NOVA FM
Dj Snake feat. Selena Gomez,Selfish Love,16,05-03-2021 09:47,Voice Danmark
Drake,What's next,16,05-03-2021 09:04,Voice Danmark
Justin Bieber,Hold On,181,05-03-2021 08:08,Voice Danmark
Chriz,What i want,53,05-03-2021 06:35,Voice Danmark
Icekiid,No wahala,10,04-03-2021 20:22,Voice Danmark
Ben & Tan,Iron heart,7,04-03-2021 13:53,DR P4 Sjælland
Maddy,Broken,100,04-03-2021 12:53,DR P4 Sjælland
Vera Feat. Liss,Only kisses,41,04-03-2021 12:32,DR P3
Elle King feat. Miranda Lambert,Drunk (and I Don't Wanna Go Home),8,03-03-2021 13:40,DR P4 Sjælland
Luca Stereo,I'm down,32,03-03-2021 02:58,DR P3
Franky Wah feat. Aetho,Should have seen it coming,20,02-03-2021 20:32,DR P3
Alan Walker feat. Salem Ilese,Fake a Smile,20,02-03-2021 12:16,SydhavsØerne
Porter Robinson,Look at the sky,24,02-03-2021 03:20,DR P3
Zara Larsson,Look What You´ve Done,10,01-03-2021 12:23,DR P4 Sjælland
Eyjaa,Don't forget about me,201,01-03-2021 12:13,DR P3
Skinz feat. Rh,Paycheck,16,01-03-2021 10:24,Voice Danmark
Cheff Records feat. Kidd, Topgunn, Klumben & Eloq,Sender Mig Til MåNen,179,01-03-2021 00:06,Voice Danmark
